,Course_Name,Course_Description,Prerequisites
179,ECE 281. Special Topics in Nanoscience/Nanotechnology (4),"A course to be given at the discretion of the faculty at which topics of interest in nanoscience and nanotechnology will be presented by visiting or resident faculty members. Subject matter will not be repeated, may be taken for credit more than once. ", graduate standing.
180,ECE 282. Special Topics in Photonics/Applied Optics (4),"A course to be given at the discretion of the faculty at which topics of interest in photonics, optoelectronic materials, devices, systems, and applications will be presented by visiting or resident faculty members. Subject matter will not be repeated, may be taken for credit more than once. ", graduate standing.
181,ECE 283. Special Topics in Electronic Circuits and Systems (4),"A course to be given at the discretion of the faculty at which topics of interest in electronic circuits and systems will be presented by visiting or resident faculty members. Subject matter will not be repeated, may be taken for credit more than once. ", graduate standing.
182,ECE 284. Special Topics in Computer Engineering (4),"A course to be given at the discretion of the faculty at which topics of interest in computer engineering will be presented by visiting or resident faculty members. Subject matter will not be repeated, may be taken for credit more than once. ", graduate standing.
183,ECE 285. Special Topics in Signal and Image Processing/Robotics and Control Systems (4),"A course to be given at the discretion of the faculty at which topics of interest in signal and image processing or robotics and control systems will be presented by visiting or resident faculty members. Subject matter will not be repeated, may be taken for credit more than once. ", graduate standing.
184,ECE 286. State-of-the-Art Topics in Computational Statistics and Machine Learning (4),Class discusses both fundamental and state-of-the-art research topics in computational statistics and machine learning. Topics vary based upon current research and have included nonparametric Bayesian models; sampling methods for inference in graphical models; Markov Chain Monte Carlo (MCMC) methods. , graduate standing.
185,ECE 287. Special Topics in Communication Theory and Systems (4),A course to be given at the discretion of the faculty at which topics of interest in information science will be presented by visiting or resident faculty members. It will not be repeated so it may be taken for credit more than once. , graduate standing.
186,ECE 289. Special Topics in Electrical and Computer Engineering (4),A course to be given at the discretion of the faculty at which general topics of interest in electrical and computer engineering will be presented by visiting or resident faculty members. May be taken for credit six times provided each course is a different topic. , graduate standing.
187,ECE 290. Graduate Seminar on Current ECE Research (2),Weekly discussion of current research conducted in the Department of Electrical and Computer Engineering by the faculty members involved in the research projects. (S/U grades only.) , graduate standing.
188,ECE 291. Industry Sponsored Engineering Design Project (4),"Design, build, and demonstrate an engineering project by groups. All students give weekly progress reports on tasks and write final report, with individual exams and presentations. Projects/sponsorships originate from the needs of local industry. Recommended preparation: ECE 230 or ECE 240 or ECE 251 or ECE 253 or ECE 258 or equivalent. ", graduate standing.
189,ECE 293. Graduate Seminar in Communication Theory and Systems (2),Weekly discussion of current research topics in communication theory and systems. (S/U grades only.) , graduate standing.
190,ECE 294. Graduate Seminar in Electronic Devices and Materials/Applied Physics (2),Weekly discussion of current research topics in electronic devices and materials or applied solid state physics and quantum electronics. (S/U grades only.) , graduate standing.
191,ECE 295. Graduate Seminar in Signal and Image Processing/Robotics and Control Systems (2),Weekly discussion of research topics in signal and image processing of robotics and control systems. (S/U grades only.) , graduate standing.
192,ECE 296. Graduate Seminar in Photonics/Applied Optics (2),"Weekly discussion of current research topics in photonics and applied optics, including imaging, photonic communications, sensing, energy and signal processing. (S/U grades only.) ", graduate standing.
193,ECE 297. Graduate Seminar in Nanoscience/Nanotechnology (2),Weekly discussion of current research topics in nanoscience and nanotechnology. (S/U grades only.) , graduate standing.
194,ECE 298. Independent Study (1–16),Open to properly qualified graduate students who wish to pursue a problem through advanced study under the direction of a member of the staff. (S/U grades only.) , consent of instructor.
195,ECE 299. Research (1–16),(S/U grades only.),
196,ECE 501. Teaching (1–4),Teaching and tutorial activities associated with courses and seminars. Number of units for credit depends on number of hours devoted to class or section assistance. (S/U grades only.) , consent of department chair.
0,MAE 02. Introduction to Aerospace Engineering (4),"An introduction to topics in aeronautical and astronautical engineering including aerodynamics, propulsion, flight mechanics, structures, materials, orbital mechanics, design, mission planning, and environments. General topics include historical background, career opportunities, engineering ethics, and professionalism. ", none.
1,MAE 03. Introduction to Engineering Graphics and Design (4),"Introduction to design process through a hands-on design project performed in teams. Topics include problem identification, concept generation, project management, risk reduction. Engineering graphics and communication skills are introduced in the areas of: Computer-Aided Design (CAD), hand sketching, and technical communication. Program or materials fees may apply. "," PHYS 2A or 4A. Enrollment restricted to BE 25, MC 25, MC 27, MC 29, and MC 30–34 majors only."
2,MAE 05. Quantitative Computer Skills (4),"Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC. ", none.
3,MAE 07. Spatial Visualization (1),"(Cross-listed with SE 7.) Spatial visualization is the ability to manipulate 2-D and 3-D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7. ", none.
4,MAE 08. MATLAB Programming for Engineering Analysis (4),"Computer programming in MATLAB with elementary numerical analysis of engineering problems. Arithmetic and logical operations, arrays, graphical presentation of computations, symbolic mathematics, solutions of equations, and introduction to data structures. ", MATH 20A and 20B or consent of instructor.
5,MAE 11. Thermodynamics (4),"Fundamentals of engineering thermodynamics: energy, work, heat, properties of pure substances, first and second laws for closed systems and control volumes, gas mixtures. Application to engineering systems, power and refrigeration cycles, combustion. Renumbered from MAE 110A. Students may not receive credit for MAE 11 and MAE 110A. ", PHYS 2C and CHEM 6A. Enrollment restricted to engineering majors only.
6,MAE 20. Elements of Materials Science (4),"The structure of materials: metals, ceramics, glasses, semiconductors, superconductors, and polymers to produce desired, useful properties. Atomic structures. Defects in materials, phase diagrams, microstructural control. Mechanical and electrical properties are discussed. Time temperature transformation diagrams. Diffusion. "," PHYS 2A or 4A, CHEM 6A or CHEM 6AH, and MATH 20C."
7,MAE 21. Aerospace Materials Science (4),"Atomic structure and physical properties of engineering materials including metals, ceramics, glasses, polymers, and composite materials. Defects and phase diagram of materials. Material testing and processing. Program or materials fees may apply. "," PHYS 2A or 4A, CHEM 6A or CHEM 6AH, and MATH 20B. Enrollment restricted to MC 25 majors only."
8,MAE 30A. Statics and Introduction to Dynamics (4),"Statics: statics of particles and rigid bodies in 3-D. Free body diagrams. Moment of a force, couples, equivalent systems of forces. Distributed forces, centroids, and centers of gravity. Introduction to dynamics: 3-D relative motion, kinematics, and kinetics of particles. Newton’s equations of motion. Equilibrium problems with friction. Enrollment restricted to engineering majors MC 25, MC 27, MC 29,MC 30–34, and SE 27. ", PHYS 2A and MATH 31BH or MATH 20C.
9,MAE 30B. Dynamics and Vibrations (4),"Dynamics: energy methods for motion of particles and rigid bodies, including virtual work, power, and Lagrange’s equations. Impact and impulses. Systems of particles. Introduction to 3-D dynamics of rigid bodies. Introduction to vibrations: free and harmonically forced vibrations of undamped and damped single degree of freedom systems. Enrollment restricted to engineering majors only MC 25, MC 27, MC 29, MC 30–34, and SE 27. ", MAE 30A.
10,MAE 40. Linear Circuits (4),"Steady-state and dynamic behavior of linear, lumped-parameter electrical circuits. Kirchhoff’s laws. RLC circuits. Node and mesh analysis. Operational amplifiers. Signal acquisition and conditioning. Electric motors. Design applications in engineering. "," MATH 20D and MATH 31AH or MATH 18 or MATH 20F, and PHYS 2B."
11,MAE 87. First-year Student Seminar (1),"The First-year Student Seminar program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. ", none.
12,"MAE 92A. Design Competition—Design, Build, and Fly Aircraft (1)","(Cross-listed with SE 10A.) Student teams design, build, and fly unmanned aircraft for a national student competition. Students concentrate on vehicle system design including aerodynamics, structures, propulsion, and performance. Teams engineering, fabricate the aircraft, submit a design report, and prep aircraft for competition. ", consent of instructor.
13,"MAE 93. Design Competition—Design, Build, and Test Race Car (1)","Student teams design, build, and test a formula-style racing car for an international student competition. Students concentrate on vehicle system analysis and design, manufacturability and performance. Teams engineer, fabricate car, submit a design report and prep car for competition. ", department approval.
14,MAE 98. Directed Group Study (2),"Directed group study on a topic or in a field not included in the regular departmental curriculum. P/NP grades only. May be taken for credit two times. Credit may not be received for a course numbered 97, 98, or 99 subsequent to receiving credit for a course numbered 197, 198, or 199. ", department approval.
15,MAE 99H. Independent Study (1),Independent study or research under direction of a member of the faculty. , student must be of first-year standing and a Regent’s Scholar; approved Special Studies form.
16,MAE 101A. Introductory Fluid Mechanics (4),"Fluid statics; fluid kinematics; integral and differential forms of the conservation laws for mass, momentum, and energy; Bernoulli equation; potential flows; dimensional analysis and similitude. "," PHYS 2A or 4A and MATH 20D and MATH 20E or MATH 31CH, or consent of instructor. Enrollment restricted to MC 25, MC 27, MC 29,and MC 30–34 majors only."
17,MAE 101B. Advanced Fluid Mechanics (4),"Laminar and turbulent flow. Pipe flow including friction factor. Boundary layers, separation, drag, and lift. Compressible flow including shock waves. "," MAE 101A or CENG 101A, and MAE 11 or MAE 110A or CENG 102, or consent of instructor."
18,MAE 101C. Heat Transfer (4),"Extension of fluid mechanics in MAE 101A–B to viscous, heat-conducting flows. Application of the energy conservation equation to heat transfer in ducts and external boundary layers. Heat conduction and radiation transfer. Heat transfer coefficients in forced and free convection. Design applications. "," MAE 101A or CENG 101A, MAE 101B,and MAE 105."
19,MAE 101D. Intermediate Heat Transfer (4),"Course builds on the MAE fluids sequence, offering more advanced concepts in conduction, convection, radiation, and heat exchanger design. This course covers numerical methods in conduction, boiling, condensation and evaporation analysis, natural and turbulent convection, spectral and directional radiative transfer, heatpipes, thermal design of spacecraft, heat exchanger analysis and design. "," senior standing and MAE 101C, or consent of instructor."
20,MAE 104. Aerodynamics (4),Basic relations describing flow field around wings and bodies at subsonic and supersonic speed. Thin-wing theory. Slender-body theory. Formulation of theories for evaluating forces and moments on airplane geometries. Application to the design of high-speed aircraft. ," MAE 101A and 101B, or consent of instructor. Enrollment restricted to MC 25, MC 27, MC 29,MC 30–34, and SE 27 majors only."
21,MAE 105. Introduction to Mathematical Physics (4),"Fourier series, Sturm Liouville theory, elementary partial differential equations, integral transforms with applications to problems in vibration, wave motion, and heat conduction. "," PHYS 2A and B, and MATH 20D or 21D. Enrollment restricted to engineering majors only."
22,MAE 107. Computational Methods in Engineering (4),"Introduction to scientific computing and algorithms; iterative methods, systems of linear equations with applications; nonlinear algebraic equations; function interpolation and differentiation and optimal procedures; data fitting and least-squares; numerical solution of ordinary differential equations. "," MAE 8 or 9, and MATH 18 or 20F or 31AH."
23,MAE 108. Probability and Statistical Methods for Mechanical Engineering (4),"Probability theory, conditional probability, Bayes theorem, random variables, densities, expected values, characteristic functions, central limit theorem. Engineering reliability, elements of estimation, random sampling, sampling distributions, hypothesis testing, confidence intervals. Curve fitting and data analysis. Students cannot receive credit for MAE 108 and ECE 109, ECON 120A, MATH 180A, MATH 183, MATH 186, or SE 125. ", MATH 18 or 20F.
24,MAE 110. Thermodynamic Systems (4),"Thermodynamic analysis of power cycles with application to combustion driven engines: internal combustion, diesel, and gas turbines. Thermodynamics of mixtures and chemical and phase equilibrium. Computational methods for calculating chemical equilibrium. Renumbered from MAE 110B. Students may not receive credit for MAE 110 and MAE 110B. ", MAE 11 or 110A. (Course not offered every year.)
25,MAE 113. Fundamentals of Propulsion (4),"Compressible flow, thermodynamics, and combustion relevant to aircraft and space vehicle propulsion. Analysis and design of components for gas turbines, including turbines, inlets, combustion chambers and nozzles. Fundamentals of rocket propulsion. "," MAE 11 or MAE 110A or CENG 102, and MAE 101A or CENG 101A, and MAE 101B or CENG 101C. Enrollment restricted to MC 25, MC 27, MC 29,and MC 30–34 majors only."
26,MAE 117A. Elementary Plasma Physics (4),"(Cross-listed with Physics 151.) Particle motions, plasmas as fluids, waves, diffusion, equilibrium and stability, nonlinear effects, controlled fusion. Recommended preparation: PHYS 100B–C or ECE 107. "," MATH 20D or 21D, or consent of instructor."
27,MAE 118. Introduction to Energy and Environment (4),"Overview of present-day primary energy sources and availability: fossil fuel, renewable, and nuclear; heat engines; energy conservation, transportation, air pollution, and climate change. Students may not receive credit for both MAE 118 and MAE 118A. "," MAE 101A or CENG 101A, or consent of instructor."
28,MAE 119. Introduction to Renewable Energy: Solar and Wind (4),"Basic principles of solar radiation—diffuse and direct radiation; elementary solar energy engineering—solar thermal and solar photovoltaic; basic principles of wind dynamics—hydrodynamic laws, wind intermittency, Betz’s law; elementary wind energy engineering; solar and wind energy perspectives; operating the California power grid with 33 percent renewable energy sources. Students may not receive credit for both MAE 118B and MAE 119. ", PHYS 2C or consent of instructor.
29,MAE 120. Introduction to Nuclear Energy (4),Overview of basic fission and fusion processes. Elementary fission reactor physics and engineering; environmental and waste disposal issues. Survey of fusion technology issues and perspectives. May not receive credit for both MAE 118C and MAE 120. ," MAE 101A or CENG 101A, or consent of instructor."
30,MAE 121. Air Pollution Transport and Dispersion Modeling (4),Overview of air pollution and wastes and their impact. Characteristics of air pollutants. Air pollution transport. Atmospheric stability. Plume rise and dispersion. Meteorological data. Selecting the appropriate air quality model and case studies. Modeling complex terrain situations. Current air quality modeling issues. Laws and regulations to control air pollution. , MAE 122.
31,MAE 122. Flow and Transport in the Environment (4),"Introduction to the air and aquatic environments. Buoyancy, stratification, and rotation. Earth surface energy balance. Introduction to the atmospheric boundary layer. Advection and diffusion. Turbulent diffusion and dispersion in rivers and in the atmospheric boundary layer. Surface waves and internal gravity waves. "," MAE 101A or CENG 101A, or consent of instructor."
32,MAE 123. Introduction to Transport in Porous Media (4),Introduction to groundwater flow. Pollution transport through the water table. Fundamentals of flow. Single- and multi-phase flow. Darcy law. Well hydraulics. Diffusion and dispersion. Gravity currents and plumes in porous media. Chemistry of fluid-solid interactions. Fundamentals of adsorption and surface reactions. ,"MAE 105, or consent of instructor."
33,MAE 125. Building Energy Efficiency (4),"Physical building performance including building thermodynamics, daylighting, and solar control. Heat transfer through building envelope, solar geometry, and shading. Heating, ventilation, and air conditioning system design, water heating, microclimates, passive system design, energy efficient design, applicant energy use, cost estimating. Building energy codes and standards. Building design project with whole building energy simulation software. ", upper-division standing.
34,MAE 126A. Environmental Engineering Laboratory (4),"Analysis of experiments in Environmental Engineering: Drag in a water tunnel, shading effects on solar photovoltaic, buoyant plume dispersion in a water tank, atmospheric turbulence, and others. Use of sensors and data acquisition. Laboratory report writing; error analysis; engineering ethics. ", MAE 101A or CENG 101A; MAE 170.
35,MAE 126B. Environmental Engineering Design (4),"Fundamental principles of environmental design. Building a working prototype or computer model for an environmental engineering application. Work in teams to propose and design experiments and components, obtain data, complete engineering analysis, and write a report. Engineering ethics and professionalism. ", MAE 126A.
36,MAE 130. Advanced Vibrations (4),"Harmonically excited vibrations. Vibration of multiple degree-of-freedom systems. Observations, including beat frequencies, static and dynamic coupling, traveling, and standing wave phenomena. Vibration of continuous systems. Hamilton’s equations. Distributed and point forces and moments in continuous systems and the generalized Dirac distribution. Response to impact and impulse excitation. Modeling continuous systems with approximate discrete models. Restricted to engineering majors only MC 25, MC 27, MC 29, MO 21, SE 27. ", MATH 18 or MATH 20F or MATH 31AH and MAE 30B or MAE 130B.
37,MAE 131A. Solid Mechanics I (4),Concepts of stress and strain. Hooke’s Law. Axial loading of bars. Torsion of circular shafts. Shearing and normal stresses in beam bending. Deflections in beams. Statically determinate and indeterminate problems. Combined loading. Principal stresses and design criteria. Buckling of columns. , MATH 20D and MAE 30A or MAE 130A or SE 101A.
38,MAE 131B. Fundamentals of Solid Mechanics II (4),Analysis of 3-D states of stress and strain. Governing equations of linear elasticity. Solution of elasticity problems in rectangular and polar coordinates. Stress concentration. Failure criteria. Torsion of noncircular and thin walled members. Energy methods. Plastic collapse and limit analysis. , MAE 131A or SE 110A and MAE 105. Enrollment restricted to engineering majors only.
39,MAE 133. Finite Element Methods in Mechanical and Aerospace Engineering (4),"Development of stiffness and mass matrices based upon variational principles and application to static, dynamic, and design problems in structural and solid mechanics. Architecture of computer codes for linear and nonlinear finite element analysis. The use of general-purpose finite element codes. ", MAE 131A or SE 110A. (Not offered every year.)
40,MAE 142. Dynamics and Control of Aerospace Vehicles (4),"The dynamics of vehicles in space or air are derived for analysis of the stability properties of spacecraft and aircraft. The theory of flight, lift, drag, Dutch roll and phugoid modes of aircraft are discussed. Optimal state space control theory for the design of analog and digital controllers (autopilots). "," MAE 104 and MAE 143B or ECE 171A, or consent of instructor. Enrollment restricted to engineering majors only."
41,MAE 143A. Signals and Systems (4),"Dynamic modeling and vector differential equations. Concepts of state, input, output. Linearization around equilibria. Laplace transform, solutions to ODEs. Transfer functions and convolution representation of dynamic systems. Discrete signals, difference equations, z-transform. Continuous and discrete Fourier transform. "," MATH 20D or 21D, MATH 20E, MATH 18 or 20F or 31AH, or consent of instructor."
42,MAE 143B. Linear Control (4),"Analysis and design of feedback systems in the frequency domain. Transfer functions. Time response specifications. PID controllers and Ziegler-Nichols tuning. Stability via Routh-Hurwitz test. Root locus method. Frequence response: Bode and Nyquist diagrams. Dynamic compensators, phase-lead and phase-lag. Actuator saturation and integrator wind-up. ", MAE 143A or consent of instructor.
43,MAE 144. Embedded Control and Robotics (4),"Each student builds, models, programs, and controls an unstable robotic system built around a small Linux computer. Review/synthesis of: A) modern physical and electrical CAD. B) dynamics, signals and systems, linear circuits; PWMs, H-bridges, quadrature encoders. C) embedded Linux, C, graphical programming; multithreaded applications; bus communication to supporting ICs. D) classical control theory in both continuous-time (CT) and discrete-time (DT); interconnection of CT and DT elements. Program or materials fees may apply. "," upper-division standing or graduate student, and MAE 143B or BENG 122A or ECE 171A, or consent of instructor."
44,MAE 145. Introduction to Robotic Planning and Estimation (4),"This course is an introduction to robotic planning algorithms and programming. Topics: sensor-based planning (bug algorithms), motion planning via decomposition and search (basic search algorithms on graphs, A*), the configuration-space concept, free configuration spaces via sampling, collision detection algorithms, (optimal) planning via sampling (probabilistic trees), environment roadmaps, and (extended) Kalman filtering for robot localization and environment mapping (SLAM). ", senior standing or consent of instructor.
45,MAE 146. Introduction to Machine Learning Algorithms (4),"An introduction to the principles used to design and implement machine learning algorithms, as well as an understanding of their advantages and limitations. The topics covered are python review, supervised learning (linear, logistic/sigmoid regression, generalized linear models, nonlinear regression via Kernels), neural network types (convolutional, recurrent, deep NN), unsupervised learning (k-means clustering). Application of ML in different examples. Recommended preparation: ECE 143 and/or python programming knowledge. ", (MATH 31AH or MATH 18) and (MATH 20C or MATH 31BH) and MAE 8 and (MAE 108 or ECE 109 or SE 125 or MATH 186 or MATH 183 or MATH 180A or ECON 120A).
46,MAE 148. Introduction to Autonomous Vehicles (4),"Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management. ", ECE 15 or ECE 35 or MAE 2 or MAE 3 and department approval.
47,MAE 149. Sensor Networks (4),"(Cross-listed with ECE 156.) Characteristics of chemical, biological, seismic, and other physical sensors; signal processing techniques supporting distributed detection of salient events; wireless communication and networking protocols supporting formation of robust censor fabrics; current experience with low power, low-cost sensor deployments. Students may not receive credit for both MAE 149 and ECE 156. May be coscheduled with SIOC 238. ", upper-division standing. (Not offered every year.)
48,MAE 150. Computer-Aided Design (4),"Computer-aided analysis and design. Design methodology, tolerance analysis, Monte Carlo analysis, kinematics and computer-aided design of linkages, numerical calculations of moments of inertia, design of cams and cam dynamics; finite element analysis, design using Pro-E, Mechanica Motion and Mechanica Structures. "," MAE 30A or MAE 130A or SE 101A or BENG 110, MAE 107 or SE 121, MAE 3, and senior standing in engineering major, or consent of instructor."
49,MAE 152. Introductions to Manual and CNC Machining (1),"In this class, students are introduced to precision machining. Students will learn the proper safe operating procedures of a manual mill and lathe, band saws, and hand tools. Other topics include the basics of tolerancing, design (Fusion 360), and operation of CNC milling and turning. Program or materials fees may apply. Recommended preparation: It is recommended that students take introduction to design process through a hands-on design project course or some other introduction to shop course.",
50,MAE 154. Product Design and Entrepreneurship (4),"This course will teach teams of students how to develop concepts and business plans in the design of new and innovative products. Emphasis will be placed on identifying user needs, concept generation, and prototype fabrication. ", upper-division standing and consent of instructor.
51,MAE 155A. Aerospace Engineering Design I (4),"Fundamental principles of aerospace vehicle design including the conceptual, preliminary, and detailed design phases. Aeronautical or astronautical design project that integrates all appropriate engineering disciplines as well as issues associated with optimization, teamwork, manufacturability, reporting, and professionalism. "," MAE 2, MAE 21, or SE 2 or SE 104, MAE 104, MAE 30B or MAE 130C, and SE 160A, or consent of instructor."
52,MAE 155B. Aerospace Engineering Design II (4),"The principles of aerospace vehicle design including the conceptual, preliminary, and detailed design phases. Aeronautical or astronautical design project that integrates all appropriate engineering disciplines as well as issues associated with optimization, teamwork, manufacturability, reporting, and professionalism. Program or materials fees may apply. ","  MAE 113, MAE 142, MAE 155A, and MAE 170, or consent of instructor."
53,MAE 156A. Fundamental Principles of Mechanical Design I (4),Fundamental principles of mechanical design and the design process. Application of engineering science to the design and analysis of mechanical components. Initiation of team design projects that culminate in MAE 156B with a working prototype designed for a real engineering application. Professional ethics discussed. Program or materials fees may apply. ," MAE 3, MAE 30B, MAE 131A, MAE 150, and MAE 170, or consent of instructor. Open to major codes MC 27 and MC 30–34 only."
54,MAE 156B. Fundamental Principles of Mechanical Design II (4),Fundamental principles of mechanical design and the design process. Culmination of a team design project initiated in MAE 156A which results in a working prototype designed for a real engineering application. ," MAE 156A in the immediately preceding quarter, MAE 101C, MAE 143B, and MAE 160 or MAE 131B. Open to major codes MC 27 and MC 30–34 only."
55,MAE 160. Mechanical Behavior of Materials (4),"Elasticity and inelasticity, dislocations and plasticity of crystals, creep, and strengthening mechanisms. Mechanical behavior of ceramics, composites, and polymers. Fracture: mechanical and microstructural. Fatigue. Laboratory demonstrations of selected topics. "," MAE 20, MAE 30A or MAE 130A or SE 101A, and MAE 131A, or consent of instructor."
56,MAE 165. Fatigue and Failure Analysis of Engineering Components (4),"The engineering and scientific aspects of crack nucleation, slow crack growth, and unstable fracture in crystalline and amorphous solids. Microstructural effects on crack initiation, fatigue crack growth and fracture toughness. Methods of fatigue testing and fracture toughness testing. Fractography and microfractography. Design safe methodologies and failure prevention. Failure analysis of real engineering structures. ", consent of instructor. (Not offered every year.)
57,MAE 166. Nanomaterials (4),"(Cross-listed with NANO 156.) Basic principles of synthesis techniques, processing, microstructural control and unique physical properties of materials in nanodimensions. Nanowires, quantum dots, thin films, electrical transport, optical behavior, mechanical behavior, and technical applications of nanomaterials. ", upper-division standing. (Not offered every year.)
58,MAE 167. Wave Dynamics in Materials (4),Pressure and shear waves in infinite solids. Reflection and diffraction. Rayleigh and Love waves in semi-infinite space. Impulse load on a half space. Waveguides and group velocity. , consent of instructor. (Not offered every year.)
59,MAE 170. Experimental Techniques (4),"Principles and practice of measurement and control and the design and conduct of experiments. Technical report writing. Lectures relate to dimensional analysis, error analysis, signal-to-noise problems, filtering, data acquisition and data reduction, as well as background of experiments and statistical analysis. Experiments relate to the use of electronic devices and sensors. "," PHYS 2C or PHYS 4B and PHYS 2CL or MAE 140 or MAE 40. Enrollment restricted to MC 25, MC 27, MC 29, MC 30–34, CE 25, BE 25, BE 27."
60,MAE 171A. Mechanical Engineering Laboratory I (4),"Design and analysis of experiments in fluid mechanics, solid mechanics, and control engineering. Experiments in wind tunnel, water tunnel, vibration table and material testing machines, and refined electromechanical systems. Laboratory report writing; error analysis; engineering ethics. "," MAE 101A,MAE 143B,and MAE 170. Enrollment restricted to MC 27 and MC 30–34 majors only."
61,MAE 171B. Mechanical Engineering Laboratory II (4),"Design and analysis of original experiments in mechanical engineering. Students research projects using experimental facilities in undergraduate laboratories: wind tunnel, water channel, vibration table, and testing machine and control systems. Students propose and design experiments, obtain data, complete engineering analysis and write a major report. ", MAE 171A. (Not offered every year.)
62,MAE 175A. Aerospace Engineering Laboratory I (4),"Analysis of aerospace engineering systems using experimental facilities in undergraduate laboratories: wind tunnel, water channel, vibration table, and testing machine. Students operate facilities, obtain data, complete engineering analysis and write major reports. "," senior standing; MAE 101C or CENG 101B; MAE 143B or CENG 120; and MAE 170, or consent of instructor."
63,MAE 180A. Spacecraft Guidance I (4),"Astrodynamics, orbital motion, perturbations, coordinate systems and frames of reference. Geosynchronous orbits, stationkeeping. Orbital maneuvers, fuel consumption, guidance systems. Observation instrument point, tracking, control. Basic rocket dynamics. Navigation, telemetry, re-entry, and aero-assisted maneuvers. Mission design. Students perform analyses based on mission requirements. "," upper-division standing in physics, mathematics, or engineering department."
64,MAE 181. Space Mission Analysis and Design (4),"Space mission concepts, architectures, and analysis. Mission geometry. Astrodynamics. Orbit and constellation design. Space environment. Payload and spacecraft design and sizing. Power sources and distribution. Thermal management. Structural design. Guidance and navigation. Space propulsion. Orbital debris and survivability. Cost modeling and risk analysis. ", upper-division standing or consent of instructor.
65,MAE 184. Flight Simulation Techniques (4),"Students will develop software and methods to simulate the motion characteristics of flight vehicles. Six degree-of-freedom equations of motion will be reviewed with emphasis on computer implementation. Algorithms for data modeling, numerical integration, equilibrium, and linearization will be introduced. Three-dimensional visualization techniques will be explored for representing operator and observer viewpoints. Applications include aircraft, automobiles, and marine vessels. ", upper-division standing or consent of instructor.
66,MAE 190. Topics in Mechanical and Aerospace Engineering (4),Topics of special interest in mechanical and aerospace engineering. May be repeated for credit as topics vary. , upper-division standing.
67,MAE 191. Topics in Mechanical and Aerospace Engineering with Laboratory (4),Topics of special interest in mechanical and aerospace engineering with laboratory. May be repeated for credit as topics vary. , upper-division standing.
68,MAE 197. Engineering Internship (1–12),Students work in local industry or hospitals under faculty supervision. Units may not be applied toward graduation requirements. Salaried or unsalaried. Number of units determined by enrollment frequency. First quarter up to four units. Subsequent quarters cannot exceed one unit. ," consent of instructor and department stamp, 2.50 overall GPA minimum, at least ninety units."
69,MAE 198. Directed Group Study (1–4),"Directed group study on a topic or in a field not included in the regular department curriculum, by special arrangement with a faculty member. May be taken P/NP only. ", consent of instructor.
70,MAE 199. Independent Study for Undergraduates (4),Independent reading or research on a problem by special arrangement with a faculty member. P/NP grades only. , consent of instructor.
71,MAE 200. Controls (4),"This course covers topics in probability and stochastic processes, linear control and estimation including optimal linear control, nonlinear stabilization, and optimal control and estimation for nonlinear systems. ", nongraduate students may enroll with consent of instructor.
72,MAE 201. Mechanics of Fluids (4),"This course covers topics in kinematics, equations of motion, dimensional analysis, laminar and irrotational flow, vorticity dynamics, and boundary layers. ", nongraduate students may enroll with consent of instructor.
73,MAE 202. Thermal Processes (4),"This course covers topics in energy conservation, heat conduction, convection, radiation, heat transfer in ducts, external boundary layer, and heat exchangers. ", nongraduate students may enroll with consent of instructor.
74,MAE 203. Solid Mechanics and Materials (4),"This course covers topics in kinematics, conservation laws, constitutive equation of linear elastic solids, plasticity, and viscoelasticity. ", nongraduate students may enroll with consent of instructor.
75,MAE 204. Robotics (4),"This course covers topics in robotics, dynamics, kinematics, mechatronics, control, locomotion, and manipulation. ", nongraduate students may enroll with consent of instructor.
76,MAE 205. Graduate Seminar (1),"Each graduate student in MAE is expected to attend one seminar per quarter, of his or her choice, dealing with current topics in fluid mechanics, solid mechanics, applied plasma physics and fusion, chemical engineering, applied ocean sciences, energy and combustion, environmental engineering, or materials science, and dynamics and controls. Topics will vary. (S/U grades only)",
77,MAE 206. Energy Systems (4),"This course covers topics in primary energy sources, availability and variability, fossil fuels, renewables and nuclear, energy dependent energy sources, heat engine, energy conservation, exergy, transportation, air pollution, and climate change. ", nongraduate students may enroll with consent of instructor.
78,MAE 207. Topics in Engineering Science (4),A course to be given at the discretion of the faculty in which topics of current interest in engineering will be presented. , consent of instructor.
79,MAE 208. Mathematics for Engineers (4),"This course will reintroduce the mathematics fundamentals necessary for success in the engineering graduate program in MAE. Topics will include calculus, ODE’s, vector calculus, linear algebra, probability and PDE’s. ", nongraduate students can enroll with consent of instructor.
